Date,Open,High,Low,Close,Volume,Adj Close
2010-07-16,60.50,60.50,59.80,59.90,29874000,59.90
2010-07-15,60.40,60.50,60.10,60.30,32938000,60.30
2010-07-14,60.40,60.70,60.20,60.40,59702000,60.40
2010-07-13,59.90,60.20,59.50,59.60,37431000,59.60
2010-07-12,60.60,60.60,59.80,59.80,44157000,59.80
2010-07-09,60.40,60.50,59.90,60.40,37986000,60.40
2010-07-08,60.10,60.40,59.70,60.40,50323000,60.40
2010-07-07,59.80,59.90,59.20,59.50,59093000,59.50
2010-07-06,58.90,59.90,58.80,59.90,69631000,59.90
2010-07-05,60.30,61.80,60.30,61.40,86939000,61.40
2010-07-02,60.00,60.70,60.00,60.30,66885000,60.30
2010-07-01,60.60,60.60,59.90,60.00,64882000,60.00
2010-06-30,60.30,61.00,60.30,60.60,58283000,60.60
2010-06-29,62.00,62.60,61.00,61.00,47903000,61.00
2010-06-28,61.20,61.70,61.10,61.70,20466000,61.70
2010-06-25,61.50,61.90,61.30,61.40,30548000,61.40
2010-06-24,62.10,62.20,61.70,62.00,35311000,62.00
2010-06-23,62.00,62.50,62.00,62.10,37155000,62.10
2010-06-22,63.30,63.30,62.60,62.60,30437000,62.60
2010-06-21,63.10,63.70,63.10,63.30,68207000,63.30
2010-06-18,62.40,62.70,61.80,62.70,46267000,62.70
2010-06-17,62.00,62.30,61.70,62.10,55896000,62.10
2010-06-15,61.30,61.90,60.70,61.40,37382000,61.40
2010-06-14,60.90,61.40,60.90,61.10,44867000,61.10
2010-06-11,60.20,60.50,60.00,60.50,41097000,60.50
2010-06-10,59.80,59.80,58.80,59.40,28784000,59.40
2010-06-09,58.40,59.00,58.30,58.60,45955000,58.60
2010-06-08,58.90,59.20,58.40,58.50,40396000,58.50
2010-06-07,59.70,59.70,58.70,59.20,69197000,59.20
2010-06-04,60.50,61.00,60.20,61.00,41837000,61.00
2010-06-03,60.80,61.00,60.50,60.80,46916000,60.80
2010-06-02,59.80,60.40,59.30,59.80,35241000,59.80
2010-06-01,59.90,60.00,59.20,59.80,27295000,59.80
2010-05-31,59.10,60.20,58.80,60.20,25365000,60.20
2010-05-28,58.90,59.40,58.30,58.70,61106000,58.70
2010-05-27,58.50,59.30,57.70,58.70,55467000,58.70
2010-05-26,58.90,59.00,58.50,58.90,42766000,58.90
2010-05-25,58.80,58.90,58.10,58.40,48371000,58.40
2010-05-24,59.60,59.60,58.70,59.00,19294000,59.00
2010-05-21,58.30,59.10,57.90,58.80,45655000,58.80
2010-05-20,59.50,59.70,58.90,58.90,31637000,58.90
2010-05-19,59.00,59.60,58.60,59.30,48408000,59.30
2010-05-18,59.60,60.00,59.40,59.50,30445000,59.50
2010-05-17,60.50,60.50,59.10,59.20,73173000,59.20
2010-05-14,60.70,61.50,60.50,61.20,31551000,61.20
2010-05-13,60.60,61.50,60.50,61.20,39828000,61.20
2010-05-12,61.00,61.00,60.00,60.10,27694000,60.10
2010-05-11,60.40,60.60,59.90,60.10,67770000,60.10
2010-05-10,59.40,60.00,59.00,59.80,56272000,59.80
2010-05-07,58.60,60.10,58.50,59.40,61514000,59.40
2010-05-06,59.80,59.90,59.20,59.50,48824000,59.50
2010-05-05,59.90,60.20,59.80,59.80,93944000,59.80
2010-05-04,61.90,62.00,60.80,61.00,38039000,61.00
2010-05-03,62.60,62.60,61.40,61.60,22418000,61.60
2010-04-30,61.80,62.70,61.80,61.80,43339000,61.80
2010-04-29,62.20,62.20,61.60,61.60,40178000,61.60
2010-04-28,62.10,62.60,62.00,62.10,72599000,62.10
2010-04-27,63.50,63.70,63.10,63.70,25300000,63.70
2010-04-26,62.40,63.60,62.40,63.50,67358000,63.50
2010-04-23,61.90,62.40,61.60,61.70,48869000,61.70
2010-04-22,61.80,61.80,60.80,61.60,90506000,61.60
2010-04-21,62.90,63.10,62.30,62.40,44895000,62.40
2010-04-20,62.90,63.00,62.40,62.80,37426000,62.80
2010-04-19,62.50,63.20,62.40,62.60,66249000,62.60
2010-04-16,63.60,63.70,62.90,63.00,49654000,63.00
2010-04-15,64.50,64.90,64.00,64.40,70894000,64.40
2010-04-14,63.10,63.80,62.90,63.80,55548000,63.80
2010-04-13,63.00,63.10,62.10,62.90,42708000,62.90
2010-04-12,63.30,63.40,62.80,63.10,34914000,63.10
2010-04-09,61.90,63.00,61.90,62.70,31569000,62.70
2010-04-08,62.80,63.00,62.10,62.30,48530000,62.30
2010-04-07,63.50,63.50,63.10,63.50,48336000,63.50
2010-04-06,62.80,63.50,62.80,63.40,52915000,63.40
2010-04-02,62.50,62.50,62.10,62.40,17299000,62.40
2010-04-01,61.50,62.50,61.50,62.10,54656000,62.10
2010-03-31,62.20,62.20,61.50,61.50,39228000,61.50
2010-03-30,62.40,62.40,61.70,62.20,29950000,62.20
2010-03-29,62.00,62.30,61.70,62.20,37464000,62.20
2010-03-26,61.30,62.00,60.30,62.00,77332000,62.00
2010-03-25,60.90,61.50,60.20,61.50,62713000,61.50
2010-03-24,60.10,60.80,60.10,60.60,46973000,60.60
2010-03-23,59.50,60.10,59.50,59.60,48107000,59.60
2010-03-22,59.60,59.60,58.80,59.00,47044000,59.00
2010-03-19,60.00,60.30,59.70,60.00,45829000,60.00
2010-03-18,60.10,60.60,60.00,60.40,70048000,60.40
2010-03-17,60.50,60.90,59.90,60.50,68876000,60.50
2010-03-16,60.10,60.20,59.70,59.70,29394000,59.70
2010-03-15,61.30,61.30,59.80,59.80,37911000,59.80
2010-03-12,61.40,61.50,60.60,60.80,67894000,60.80
2010-03-11,61.60,61.80,61.20,61.40,25340000,61.40
2010-03-10,61.30,61.40,60.80,61.40,30540000,61.40
2010-03-09,61.20,61.40,60.80,61.30,29829000,61.30
2010-03-08,60.90,61.20,60.60,61.20,43993000,61.20
2010-03-05,59.80,60.40,59.60,60.40,59062000,60.40
2010-03-04,59.80,59.80,58.40,59.20,53405000,59.20
2010-03-03,59.60,60.10,59.60,60.00,32150000,60.00
2010-03-02,60.50,60.50,59.50,59.90,53495000,59.90
2010-03-01,59.50,59.90,58.20,59.60,60146000,59.60
2010-02-26,58.20,58.90,58.00,58.80,30877000,58.80
2010-02-25,58.50,58.90,57.90,58.20,55655000,58.20
2010-02-24,59.20,59.20,58.40,58.50,54884000,58.50
2010-02-23,59.60,59.90,59.10,59.80,50343000,59.80
2010-02-22,60.50,60.50,59.00,59.00,47519000,59.00
2010-02-10,59.00,59.20,58.20,58.40,53679000,58.40
2010-02-09,58.40,59.20,57.70,58.60,45754000,58.60
2010-02-08,58.00,58.20,57.00,57.40,45247000,57.40
2010-02-05,57.60,57.90,57.20,57.20,62227000,57.20
2010-02-04,60.00,60.00,59.00,59.10,42564000,59.10
2010-02-03,60.20,60.30,58.80,59.80,42426000,59.80
2010-02-02,60.20,60.40,59.00,59.00,65510000,59.00
2010-02-01,60.70,60.70,59.50,59.80,75480000,59.80
2010-01-29,60.10,61.50,59.40,61.50,91560000,61.50
2010-01-28,60.50,61.50,59.80,60.00,43988000,60.00
2010-01-27,60.10,60.40,59.50,59.60,52639000,59.60
2010-01-26,60.60,61.20,60.00,60.10,79112000,60.10
2010-01-25,60.10,60.80,60.10,60.40,62151000,60.40
2010-01-22,61.50,61.70,61.00,61.10,63918000,61.10
2010-01-21,63.00,63.00,62.10,62.60,24738000,62.60
2010-01-20,62.90,63.20,62.20,63.00,52281000,63.00
2010-01-19,63.00,63.20,62.00,62.50,47202000,62.50
2010-01-18,62.80,63.10,62.80,62.90,30136000,62.90
2010-01-15,62.90,63.50,62.80,63.50,47852000,63.50
2010-01-14,63.60,63.60,63.00,63.20,36149000,63.20
2010-01-13,63.00,63.10,62.60,62.80,47976000,62.80
2010-01-12,64.40,64.40,63.30,63.60,49853000,63.60
2010-01-11,64.00,64.90,63.50,64.50,36799000,64.50
2010-01-08,63.50,64.30,63.50,64.00,46076000,64.00
2010-01-07,64.90,65.00,64.20,64.20,42134000,64.20
2010-01-06,64.50,64.90,63.70,64.90,49261000,64.90
2010-01-05,65.00,65.10,63.90,64.50,37138000,64.50
2010-01-04,65.00,65.00,64.00,64.90,39407000,64.90
2009-12-31,64.40,64.50,63.90,64.50,51979000,64.50
2009-12-30,63.30,64.00,63.30,63.90,59566000,63.90
2009-12-29,63.70,63.70,62.90,63.30,28498000,63.30
2009-12-28,63.40,64.00,63.40,63.70,39136000,63.70
2009-12-25,63.90,63.90,63.10,63.40,20204000,63.40
2009-12-23,63.00,63.50,62.80,63.40,65488000,63.40
2009-12-22,62.60,62.90,62.50,62.90,43944000,62.90
2009-12-21,62.40,62.80,62.20,62.20,52334000,62.20
2009-12-18,61.50,61.90,61.30,61.90,32071000,61.90
2009-12-17,62.10,62.40,61.50,62.20,33109000,62.20
2009-12-16,62.50,62.50,61.50,61.80,49488000,61.80
2009-12-15,62.50,62.70,62.20,62.70,27949000,62.70
2009-12-14,62.10,62.80,62.00,62.70,38704000,62.70
2009-12-11,61.90,62.60,61.40,62.60,40997000,62.60
2009-12-10,62.80,62.80,61.00,61.30,62875000,61.30
2009-12-09,62.20,62.40,61.90,62.40,37770000,62.40
2009-12-08,62.90,62.90,61.90,62.40,39388000,62.40
2009-12-07,62.00,62.80,62.00,62.50,46543000,62.50
2009-12-04,61.50,61.90,61.30,61.50,26379000,61.50
2009-12-03,61.60,61.80,61.00,61.50,54543000,61.50
2009-12-02,61.40,61.50,60.50,60.80,38474000,60.80
2009-12-01,61.50,61.60,60.40,60.70,53946000,60.70
2009-11-30,61.00,61.30,60.70,61.10,32695000,61.10
2009-11-27,61.10,61.30,60.00,60.00,93737000,60.00
2009-11-26,62.80,63.00,61.80,62.00,31172000,62.00
2009-11-25,62.20,63.00,62.20,62.70,46553000,62.70
2009-11-24,62.20,62.50,61.80,62.40,25992000,62.40
2009-11-23,61.40,62.10,61.40,62.00,25386000,62.00
2009-11-20,62.80,62.80,61.40,61.70,50419000,61.70
2009-11-19,62.90,63.20,62.70,62.90,40088000,62.90
2009-11-18,63.00,63.20,62.70,62.90,54524000,62.90
2009-11-17,63.00,63.20,62.10,62.60,57822000,62.60
2009-11-16,62.40,62.70,62.20,62.40,59633000,62.40
2009-11-13,61.80,62.20,61.50,61.80,43120000,61.80
2009-11-12,62.50,62.80,61.90,62.20,102770000,62.20
2009-11-11,61.00,62.50,60.90,62.20,94778000,62.20
2009-11-10,60.40,60.50,60.00,60.50,40584000,60.50
2009-11-09,60.50,60.50,59.80,60.00,34813000,60.00
2009-11-06,60.30,60.30,59.70,60.00,44520000,60.00
2009-11-05,59.90,60.00,59.40,59.70,43726000,59.70
2009-11-04,59.20,59.70,59.00,59.60,64073000,59.60
2009-11-03,59.70,59.70,59.10,59.20,52726000,59.20
2009-11-02,59.50,60.20,59.20,59.80,38079000,59.80
2009-10-30,61.40,61.40,60.00,60.00,65520000,60.00
2009-10-29,60.00,60.60,59.00,60.30,103965000,60.30
2009-10-28,61.30,61.50,60.50,60.50,62705000,60.50
2009-10-27,61.50,61.90,61.10,61.30,49427000,61.30
2009-10-26,61.80,62.30,61.50,61.50,36720000,61.50
2009-10-23,62.00,62.10,61.50,61.50,36966000,61.50
2009-10-22,62.20,62.20,61.00,61.80,72693000,61.80
2009-10-21,61.70,62.20,61.30,61.60,48816000,61.60
2009-10-20,61.80,62.30,61.80,62.00,67524000,62.00
2009-10-19,61.70,61.90,61.00,61.40,103211000,61.40
2009-10-16,62.50,63.00,61.80,61.90,75045000,61.90
2009-10-15,64.00,64.00,63.00,63.80,62541000,63.80
2009-10-14,62.50,63.50,62.30,63.50,85334000,63.50
2009-10-13,60.60,61.80,60.30,61.80,51266000,61.80
2009-10-12,61.80,61.80,60.60,61.20,36486000,61.20
2009-10-09,60.80,61.30,60.70,61.10,67762000,61.10
2009-10-08,61.20,61.80,60.90,60.90,82064000,60.90
2009-10-07,63.00,63.00,61.70,62.10,62388000,62.10
2009-10-06,62.00,63.00,61.60,62.40,81906000,62.40
2009-10-05,62.00,62.20,61.50,62.00,60826000,62.00
2009-10-02,63.00,63.30,62.50,62.70,77795000,62.70
2009-10-01,65.00,65.20,63.80,65.00,54800000,65.00
2009-09-30,63.70,65.00,63.70,64.50,102127000,64.50
2009-09-29,62.00,63.70,62.00,63.70,82548000,63.70
2009-09-28,61.40,61.40,60.50,60.70,27489000,60.70
2009-09-25,61.00,61.30,60.40,61.10,45106000,61.10
2009-09-24,62.00,62.00,60.50,60.80,54162000,60.80
2009-09-23,62.70,62.90,61.40,62.30,34755000,62.30
2009-09-22,62.00,62.80,62.00,62.50,24321000,62.50
2009-09-21,62.50,62.60,61.50,62.30,33473000,62.30
2009-09-18,62.00,62.70,61.80,62.70,46352000,62.70
2009-09-17,63.00,63.00,62.00,62.50,38573000,62.50
2009-09-16,62.60,63.40,62.50,62.70,35054000,62.70
2009-09-15,61.00,62.70,61.00,62.50,36111000,62.50
2009-09-14,62.40,62.50,60.80,61.50,44672000,61.50
2009-09-11,62.80,62.80,61.90,62.40,47431000,62.40
2009-09-10,64.70,65.00,62.00,63.50,96349000,63.50
2009-09-09,62.80,63.00,62.00,62.00,50654000,62.00
2009-09-08,62.00,63.10,61.40,62.70,70265000,62.70
2009-09-07,60.10,62.00,59.70,62.00,74764000,62.00
2009-09-04,60.20,60.20,59.50,60.00,44401000,60.00
2009-09-03,60.20,60.20,59.30,59.80,42433000,59.80
2009-09-02,60.40,60.80,59.60,59.60,61298000,59.60
2009-09-01,59.40,61.00,58.70,61.00,84266000,61.00
2009-08-31,59.60,59.80,58.50,59.20,45013000,59.20
2009-08-28,59.00,59.50,58.30,59.50,49629000,59.50
2009-08-27,58.50,58.90,57.90,58.80,30410000,58.80
2009-08-26,58.70,59.00,58.00,59.00,50183000,59.00
2009-08-25,58.60,59.00,58.30,58.70,35268000,58.70
2009-08-24,57.80,59.00,57.60,58.40,59282000,58.40
2009-08-21,58.00,58.10,56.50,56.80,42051000,56.80
2009-08-20,57.40,57.80,56.50,57.70,25658000,57.70
2009-08-19,57.50,57.90,57.30,57.40,21153000,57.40
2009-08-18,57.10,57.80,56.60,57.60,32027000,57.60
2009-08-17,59.00,59.20,57.40,57.80,48628000,57.80
2009-08-14,59.20,59.40,58.50,58.90,51220000,58.90
2009-08-13,58.00,58.60,57.50,58.60,79925000,58.60
2009-08-12,57.10,57.50,56.50,57.50,42908000,57.50
2009-08-11,57.30,57.60,56.50,57.10,64378000,57.10
